name,address,lat,lng,Upso,SalesAmt,FlowPop,EmpEop,AbodePop,EmpAvgCo
김포석모DT,경기도 김포시 양촌읍 김포한강4로301,37.65127888,126.6498799,10개,"4,712만원","13,790명","2,350명","3,432명",338만원
이천증포DT,경기도 이천시 이섭대천로 1443 (증포동),37.29660399,127.457292,5개,"1,125만원","53,845명","2,187명","8,664명",326만원
오산수청DT,경기도 오산시 경기대로 445,37.16298068,127.0666928,25개,623만원,"28,036명","4,997명","28,013명",340만원
송산마도IC DT,경기도 화성시 마도면 화성로 803,37.20721733,126.7776941,7개,630만원,"44,506명","1,489명","1,056명",350만원
여주DT,경기도 여주시 세종로 358 (점봉동),37.26613937,127.6385358,7개,"1,018만원","21,672명","3,066명","1,971명",323만원
해운대달맞이DT,부산광역시 해운대구 달맞이길 57 (중동),35.1615043,129.1710436,75개,"2,009만원","108,524명","16,905명","22,553명",314만원
