name,address,lat,lng,Upso,SalesAmt,FlowPop,EmpEop,AbodePop,EmpAvgCo
대구교대DT,대구 남구 대명동 1793-5,35.853471,128.590254,6개,"2,345만원","83,549명","14,506명","19,695명",308만원
대구태전 DT,대구 북구 태전동 409-12,35.9227656,128.5465096,2개,"11,829만원","80,697명","9,886명","24,212명",305만원
대구 침산DT,대구 북구 침산동 244-1,35.886979,128.591729,9개,"2,386만원","156,516명","13,936명","36,656명",327만원
칠곡 2 DT,대구 북구 읍내동 1385-2,35.932701,128.549584,3개,"2,162만원","74,232명","11,899명","29,906명",304만원
대구복현DT점,대구 북구 복현동 364-5,35.8923448,128.6230705,2개,"2,407만원","77,593명","8,318명","27,347명",309만원
대구 수성DT,대구 수성구 수성동4가 1020-2,35.860015,128.6191288,11개,"1,991만원","209,826명","23,728명","35,655명",348만원
대구만촌DT점,대구 수성구 만촌동 853-1,35.8564424,128.6500702,4개,"3,108만원","125,722명","7,074명","13,122명",328만원
대구황금DT점,대구 수성구 황금동 567-11,35.8398734,128.6253141,3개,"2,079만원","93,032명","12,028명","22,492명",309만원
대구희망DT점,대구 수성구 중동 70-10,35.8466919,128.6133472,2개,"1,369만원","67,571명","11,600명","22,489명",322만원
대구시지DT점,대구 수성구 매호동 1087-1,35.8409636,128.7070276,7개,"1,763만원","143,316명","12,389명","34,641명",319만원
대구 모다 DT점,대구 달서구 호산동 720-2,35.8399882,128.4912427,2개,0만원,"71,758명","12,688명",163명,332만원
대구진천DT점,대구 달서구 진천동 608-6,35.813863,128.521789,6개,"1,869만원","180,074명","14,274명","40,633명",321만원
용산 DT,대구 달서구 용산동 934,35.857381,128.530813,3개,"3,336만원","71,560명","12,473명","26,925명",311만원
대구본리DT점,대구 달서구 감삼동 346,35.844745,128.537513,6개,"3,255만원","158,979명","13,604명","40,815명",310만원
대구 이곡DT,대구 달서구 이곡동 1244-3,35.8551203,128.508293,3개,"1,904만원","179,069명","16,313명","31,025명",311만원
대구 다사DT,대구 달성군 다사읍 죽곡리 5-23,35.861736,128.461659,2개,"3,404만원","132,152명","8,390명","30,589명",336만원
신흥DT점,인천 중구 신흥동3가 7-227,37.456986,126.634617,1개,0만원,"144,582명","19,916명","28,127명",323만원
문학DT점,인천 미추홀구 문학동 381-5,37.4382026,126.6888976,3개,"3,287만원","52,159명","5,433명","11,791명",295만원
연수 GS DT점,인천 연수구 연수동 597,37.4148325,126.6770929,7개,"3,222만원","141,623명","19,448명","20,218명",301만원
송도GS DT점,인천 연수구 송도동 8-18,37.385219,126.6446957,2개,"2,414만원","253,012명","13,619명","8,571명",393만원
인천옥련 DT점,인천 연수구 옥련동 265-29,37.428082,126.654103,0개,0만원,"59,942명","6,743명","20,278명",307만원
인천구월DT점,인천 남동구 구월동 1120-16,37.4500387,126.6938266,1개,"3,208만원","128,462명","19,039명","33,108명",305만원
만수DT점,인천 남동구 만수동 904-4,37.459989,126.723486,2개,0만원,"86,667명","16,557명","48,582명",290만원
구월 아시아드 DT점,인천 남동구 구월동 1185,37.446767,126.707541,5개,"2,898만원","208,757명","46,316명","26,164명",317만원
부평SK DT,인천 부평구 부평동 440-2,37.5000338,126.7226495,6개,"2,674만원","137,658명","30,311명","54,661명",311만원
인천구산 DT,인천 부평구 구산동 1-4,37.4840793,126.7518742,5개,"3,920만원","169,211명","25,697명","19,464명",311만원
인천삼산DT점,인천 부평구 삼산동 226-7,37.519461,126.732804,3개,"2,934만원","58,417명","15,575명","32,740명",313만원
인천계산DT,인천 계양구 계산동 1083-3,37.5343565,126.7381358,6개,"2,414만원","208,259명","28,757명","43,205명",307만원
연희 DT,인천 서구 심곡동 255-2,37.541262,126.676282,2개,"23,917만원","89,223명","16,571명","17,365명",303만원
인천청라DT,인천 서구 청라동 208-3,37.517362,126.649716,0개,0만원,"9,505명","4,348명",147명,348만원
광주쌍촌 DT,광주 서구 쌍촌동 964-9,35.151535,126.86275,3개,"2,339만원","108,816명","12,410명","22,765명",358만원
상무,광주 서구 치평동 1182,35.153713,126.847691,5개,"2,419만원","241,822명","36,393명","21,889명",362만원
광주월산DT,광주 남구 월산동 951-3,35.145839,126.889637,1개,"32,903만원","144,028명","14,387명","24,161명",314만원
광주진월DT,광주 남구 진월동 291-7,35.1216173,126.8982296,3개,"2,093만원","109,938명","8,285명","20,841명",317만원
광주운암DT,광주 북구 운암동 1078-2,35.1849172,126.8701582,3개,"1,783만원","80,553명","6,812명","23,221명",316만원
광주첨단DT점,광주 북구 용두동 311-15,35.2115964,126.8717442,3개,"4,051만원","106,426명","8,911명","28,185명",337만원
광주동림DT,광주 북구 동림동 900-41,35.1723932,126.8622261,4개,"1,863만원","115,316명","9,852명","19,825명",360만원
용봉DT,광주 북구 용봉동 1130-8,35.185125,126.898181,4개,"2,287만원","114,798명","13,482명","26,127명",316만원
전남대 DT,광주 북구 용봉동 127-1,35.179382,126.912369,10개,"1,911만원","70,632명","15,612명","20,404명",304만원
광주산정DT점,광주 광산구 산정동 143-16,35.165782,126.801344,3개,"4,198만원","110,243명","7,804명","20,791명",325만원
대전 센트럴 DT점,대전 중구 대흥동 522-1,36.3241732,127.419176,5개,"1,996만원","95,014명","28,252명","17,477명",311만원
대전유천DT점,대전 중구 유천동 327-4,36.317445,127.3924202,4개,"2,252만원","59,462명","11,175명","29,230명",294만원
대전부사DT,대전 중구 부사동 87-14,36.319769,127.431771,1개,0만원,"60,828명","10,321명","16,282명",322만원
대전가장DT,대전 서구 가장동 54-1,36.3344569,127.3888453,4개,"4,172만원","103,578명","17,811명","29,192명",300만원
대전가수원DT,대전 서구 가수원동 655-4,36.303557,127.348389,5개,"2,586만원","62,544명","8,315명","16,445명",319만원
대전카이스트DT점,대전 유성구 가정동 2-23,36.3805308,127.3782696,0개,0만원,"46,590명","4,936명","4,664명",413만원
대전 유성 DT점,대전 유성구 봉명동 446-5,36.354346,127.340413,10개,"2,449만원","184,961명","22,484명","18,681명",343만원
대전한남대DT점,대전 대덕구 중리동 230-15,36.3584065,127.4212141,0개,0만원,"43,670명","10,330명","13,103명",318만원
대전신탄진DT점,대전 대덕구 상서동 834-4,36.432737,127.423142,0개,0만원,"57,392명","7,978명","6,061명",380만원
울산서동DT,울산 중구 서동 53-3,35.5809426,129.3475574,0개,0만원,"37,257명","3,753명","13,576명",335만원
울산옥동 DT,울산 남구 신정동 1639-36,35.5338665,129.2999606,2개,"11,093만원","87,892명","11,180명","30,881명",326만원
울산삼산DT,울산 남구 삼산동 1550-7,35.5426585,129.3391428,9개,"1,750만원","218,780명","29,635명","18,690명",325만원
울산SK DT,울산 남구 달동 819,35.5326525,129.3156324,4개,"1,829만원","157,139명","22,279명","28,035명",313만원
