name,address,lat,lng
대전부사DT,대전 중구 부사동 87-14,36.3197690,127.4317710
대전가장DT,대전 서구 가장동 54-1,36.3344569,127.3888453
대전가수원DT,대전 서구 가수원동 655-4,36.3035570,127.3483890
대전카이스트DT점,대전 유성구 가정동 2-23,36.3805308,127.3782696
대전 유성 DT점,대전 유성구 봉명동 446-5,36.3543460,127.3404130
대전한남대DT점,대전 대덕구 중리동 230-15,36.3584065,127.4212141
대전신탄진DT점,대전 대덕구 상서동 834-4,36.4327370,127.4231420
울산서동DT,울산 중구 서동 53-3,35.5809426,129.3475574
울산옥동 DT,울산 남구 신정동 1639-36,35.5338665,129.2999606
울산삼산DT,울산 남구 삼산동 1550-7,35.5426585,129.3391428
울산SK DT,울산 남구 달동 819,35.5326525,129.3156324
울산 삼산로 DT,울산 남구 달동 1253-1,35.5380226,129.3323694
울산 일산 DT,울산 동구 일산동 951-5,35.4982180,129.4283130
울산호계SK DT점,울산 북구 신천동 452-1,35.6354397,129.3452839
울산 굴화DT점,울산 울주군 범서읍 굴화리 28-8,35.5564790,129.2625960
북수원DT점,경기 수원시 장안구 송죽동 451-1,37.3051514,127.002735
수원정자DT,경기 수원시 장안구 정자동 76-18,37.2902780,127.0016360
수원GS DT,경기 수원시 권선구 권선동 1029,37.2590888,127.0260263
수원세류DT,경기 수원시 권선구 세류동 1155-8,37.2446881,127.0171584
수원화성DT점,경기 수원시 팔달구 우만동 490-4,37.285572,127.028107
수원인계DT,경기 수원시 팔달구 인계동 363-3,37.2706720,127.0349440
동수원GS DT,경기 수원시 영통구 이의동 422-5,37.294811,127.048409
수원 망포DT,경기 수원시 영통구 망포동 21-1,37.2461210,127.0546230
성남신흥DT점,경기 성남시 수정구 신흥동 181,37.4510990,127.1485360
서판교 DT,경기 성남시 분당구 운중동 1017,37.3906413,127.0840039
의정부만가대 DT점,경기 의정부시 용현동 60-1,37.7309716,127.0865032
의정부금오DT점,경기 의정부시 금오동 99-6,37.7555791,127.0785317
의정부녹양DT점,경기 의정부시 가능동 106-1,37.7567324,127.0385792
의정부GS DT점,경기 의정부시 호원동 435,37.7201469,127.0471417
안양비산DT,경기 안양시 동안구 비산동 576-13,37.3933777,126.9418787
광명소하DT점,경기 광명시 소하동 1340,37.4477011,126.8817756
광명DT,경기 광명시 광명동 754-4,37.4685501,126.8478428
평택GS DT,경기 평택시 용이동 470-5,36.9960302,127.1424225
평택서정 DT점,경기 평택시 서정동 779-5,37.0696681,127.0639889
평택 세교DT점,경기 평택시 세교동 277-10,37.005327,127.084502
동두천지행DT,경기 동두천시 지행동 340-1,37.8921050,127.0573180
안산고잔 DT,경기 안산시 단원구 고잔동 705-5,37.3128766,126.8285911
중산DT점,경기 고양시 일산동구 중산동 1667-5,37.6828342,126.7788292
고양DT,경기 고양시 덕양구 벽제동 262-1,37.702824,126.903952
고양풍동DT,경기 고양시 일산동구 풍동 148-3,37.6628115,126.8027062
고양원당DT점,경기 고양시 덕양구 주교동 610-4,37.6559796,126.8351623
고양삼송DT,경기 고양시 덕양구 동산동 74-1,37.6445183,126.8960646
고양덕이DT,경기 고양시 일산서구 덕이동 304-3,37.699185,126.759431
구리인창 DT,경기 구리시 인창동 410-5,37.6102744,127.1377060
평내 DT,경기 남양주시 평내동 246-21,37.647998,127.23483
진접DT,경기 남양주시 진접읍 장현리 218,37.7220147,127.1896496
마석DT,경기 남양주시 화도읍 마석우리 481-2,37.6600182,127.3023431
오산세교DT점,경기 오산시 내삼미동 466-1,37.1785643,127.0558738
오산DT점,경기 오산시 원동 372-5,37.139911,127.073855
군포산본DT점,경기 군포시 산본동 51-1,37.3734130,126.9369380
군포당동SK DT,경기 군포시 당동 871-2,37.3460990,126.9435220
의왕오전DT,경기 의왕시 오전동 207-1,37.3565170,126.9671860
하남시청DT점,경기 하남시 신장동 522-5,37.5409540,127.2149610
용인수지DT,경기 용인시 수지구 풍덕천동 43-5,37.3303186,127.1023476
용인마북 DT,경기 용인시 기흥구 마북동 552-4,37.3024726357499,127.10628235193924
용인신갈DT,경기 용인시 기흥구 영덕동 40-2,37.2695150,127.0970449
용인시청DT,경기 용인시 처인구 삼가동 250-34,37.2387541,127.1745618
용인동백DT,경기 용인시 기흥구 상하동 455-2,37.2747480,127.1415230
용인DT,경기 용인시 처인구 김량장동 177-9,37.239931446158,127.2106275428
용인보라DT,경기 용인시 기흥구 하갈동 142-8,37.2544724,127.1046466
이천 DT,경기 이천시 중리동 461-3,37.2751350,127.4466540
안성공도DT,경기 안성시 공도읍 마정리 149-17,37.0031697,127.1806612
김포고촌SK DT점,경기 김포시 고촌읍 신곡리 532-25,37.6011347,126.7710576
김포장기 DT,경기 김포시 장기동 1911-2,37.6463204,126.6707396
김포감정DT점,경기 김포시 감정동 504-6,37.6242990,126.6966110
김포구래DT,경기 김포시 구래동 6871-25,37.645171,126.619049
병점DT점,경기 화성시 병점동 372-1,37.205453,127.037108
동탄SK점,경기 화성시 능동 1051-1,37.2211071,127.0602127
화성봉담DT,경기 화성시 기안동 357-5,37.2238271,126.9731257
화성향남DT,경기 화성시 향남읍 방축리 297-75,37.1218110,126.9187348
경기광주DT,경기 광주시 쌍령동 155-18,37.40132790837621,127.27116160471068
양주덕계DT,경기 양주시 덕계동 495-8,37.8247972,127.0508141
양주휴게소DT,경기 양주시 장흥면 삼하리 250-16,37.6789680,126.9161600
포천DT,경기 포천시 설운동 13-7,37.845665,127.160166
여주DT,경기 여주시 교동 101,37.280375,127.635963
청주비하 DT,충북 청주시 흥덕구 비하동 671-12,36.6386995,127.4222387
청주봉명 DT,충북 청주시 흥덕구 봉명동 1405,36.6462293,127.4642027
청주분평DT,충북 청주시 서원구 분평동 241-4,36.610333,127.483852
청주율량GS DT점,충북 청주시 청원구 율량동 769,36.6707400,127.4841970
청주금천 DT,충북 청주시 상당구 금천동 44-1,36.6277730,127.5081340
충주교현 DT,충북 충주시 교현동 624-1,36.9793601,127.9279571
제천DT점,충북 제천시 청전동 165-5,37.1452730,128.2142120
천안원성 DT,충남 천안시 동남구 원성동 442-1,36.8105986,127.1643040
천안 쌍용역 DT점,충남 천안시 서북구 쌍용동 394-10,36.7935958,127.1259295
천안두정DT,충남 천안시 서북구 두정동 620,36.8256774,127.1286879
천안두정역DT,충남 천안시 서북구 두정동 24-8,36.832998,127.152069
충남보령DT,충남 보령시 궁촌동 345-4,36.3416710,126.5890980
충남아산DT,충남 아산시 온천동 36-28,36.7846320,127.0050001
서산DT,충남 서산시 예천동 524-26,36.7728040,126.4411340
충남논산DT,충남 논산시 내동 343-1,36.1885900,127.0954323
충남당진DT,충남 당진시 읍내동 423-39,36.8971623,126.6269708
충남홍성DT,충남 홍성군 홍성읍 소향리 72-4,36.6046922,126.6613855
목포석현DT,전남 목포시 석현동 816-85,34.8172292,126.4203474
목포하당DT점,전남 목포시 상동 1126-2,34.8004310,126.4337710
여수 학동 DT점,전남 여수시 학동 82-3,34.7609980,127.6644620
순천덕암DT점,전남 순천시 덕암동 146-32,34.9417246,127.5089934
순천조례DT,전남 순천시 조례동 382-1,34.9572980,127.5287120
광양DT,전남 광양시 중동 1309-3,34.9393534,127.6997305
목포남악DT점,전남 무안군 삼향읍 남악리 2148,34.8107491,126.4606712
포항북부 DT,경북 포항시 북구 두호동 724,36.0563529,129.3775382
포항남부DT점,경북 포항시 남구 대잠동 915,36.0172853,129.3472423
포항장성DT점,경북 포항시 북구 장성동 1576-5,36.0747692,129.3848809
경주황남 DT,경북 경주시 노서동 169-4,35.8388905,129.2049056
경주보문DT,경북 경주시 신평동 436,35.8437132,129.2882117
경주용강 DT,경북 경주시 용강동 875,35.8690051,129.2250611
김천평화DT점,경북 김천시 평화동 2-2,36.127952,128.117844
안동DT,경북 안동시 옥동 985-10,36.560062,128.703393
구미도량 DT,경북 구미시 도량동 524-3,36.1362527,128.3320295
구미형곡점,경북 구미시 형곡동 146-9,36.111127,128.335711
구미인동DT,경북 구미시 인의동 1004-1,36.0953595,128.4315431
구미옥계DT점,경북 구미시 옥계동 362-1,36.1403367,128.4182258
영천DT,경북 영천시 망정동 206-9,35.9762739,128.9526380
경산정평DT,경북 경산시 정평동 147-6,35.834700,128.727062
창원역DT점,경남 창원시 의창구 팔용동 149-4,35.2559358,128.6067754
마산신포DT,경남 창원시 마산합포구 신포동1가 25-1,35.1979970,128.5707100
진해자은 DT,경남 창원시 진해구 자은동 808-2,35.1447205,128.7068096
창원사파DT,경남 창원시 성산구 사파동 97-4,35.2219640,128.7003050
창원내서DT,경남 창원시 마산회원구 내서읍 중리 1043-8,35.2485149,128.5103547
마산석전DT,경남 창원시 마산회원구 석전동 261-14,35.228,128.574
진해용원DT,경남 창원시 진해구 용원동 1213-19,35.1011458,128.8106492
진주칠암 DT,경남 진주시 주약동 94-1,35.1755202,128.0930724
진주가좌DT,경남 진주시 가좌동 644-3,35.1615021,128.1071192
진주혁신GSDT,경남 진주시 충무공동 222-1,35.1792099,128.1547736
통영죽림DT,경남 통영시 광도면 죽림리 1569-1,34.8842312,128.4176021
사천DT,경남 사천시 사천읍 수석리 320-11,35.080744,128.083462
김해삼계 DT,경남 김해시 삼계동 1460-5,35.2627423,128.8720488
김해삼정 DT,경남 김해시 삼정동 616-3,35.2281242,128.8968947
김해외동DT점,경남 김해시 외동 238-3,35.2295240,128.8624750
김해장유 DT,경남 김해시 대청동 316-1,35.1926792,128.8044838
밀양 DT,경남 밀양시 삼문동 397,35.4910290,128.7461350
옥포 SK DT,경남 거제시 옥포동 551-1,34.8886974,128.6917714
웅상DT,경남 양산시 삼호동 1016-9,35.410612,129.164741
양산DT점,경남 양산시 동면 석산리 1421-9,35.328068,129.033486
양산북정 DT점,경남 양산시 신기동 545-7,35.3529749,129.0375763
양산덕계DT점,경남 양산시 평산동 16-6,35.3807370,129.1553340
제주시청DT,제주특별자치도 제주시 이도이동 1057-2,33.4956779,126.5331559
제주노형 DT,제주특별자치도 제주시 노형동 903-5,33.4863584,126.4808204
제주일도 DT,제주특별자치도 제주시 일도이동 369-11,33.5075590,126.5411280
제주공항DT점,제주특별자치도 제주시 용담이동 1787,33.4950661,126.4925675
제주외도DT,제주특별자치도 제주시 외도이동 345-1,33.493466,126.431264
제주서귀포DT,제주특별자치도 서귀포시 서귀동 284-29,33.2532031,126.5626474
제주월드컵스타디움DT,제주특별자치도 서귀포시 강정동 231-1,33.2494014,126.5073152
제주중문DT,제주특별자치도 서귀포시 색달동 2558-1,33.2548670,126.4137630
춘천퇴계DT,강원 춘천시 퇴계동 418-20,37.8590610,127.7310400
춘천후평DT,강원 춘천시 후평동 702-5,37.8808807,127.7494853
원주단계DT,강원 원주시 단계동 879-1,37.344154,127.928521
원주단구DT,강원 원주시 단구동 1026-16,37.3291139,127.9513641
강릉송정DT,강원특별자치도 강릉시 송정동 546-4,37.7722802,128.9239953
동해DT,강원 동해시 천곡동 1066,37.5208536,129.1140294
속초DT,강원 속초시 조양동 636-53,38.1898673,128.583929
전주중화산점,전북 전주시 완산구 중화산동2가 648-11,35.8142624,127.1235637
전주효자 DT,전북 전주시 완산구 효자동1가 411-24,35.8057830,127.1117512
전주평화 DT,전북 전주시 완산구 평화동1가 732-1,35.7938590,127.1326780
전주인후DT점,전북 전주시 덕진구 인후동2가 1529-4,35.8440085,127.1450580
전주송천 DT,전북 전주시 덕진구 송천동2가 527,35.864989,127.121885
전주덕진 DT,전북 전주시 덕진구 덕진동1가 1401-18,35.8438340,127.1230550
군산나운DT,전북 군산시 나운동 844-6,35.9621960,126.6961740
군산조촌DT,전북특별자치도 군산시 조촌동 471-1,35.9768446,126.737038
익산영등DT점,전북 익산시 영등동 747-8,35.9581230,126.9729790
전북정읍DT,전북 정읍시 수성동 524-17,35.5696764,126.8516727
